gorovje,ime,ogledi,priljubljenost,st_poti,st_slik,visina,vrsta
"Goriško, Notranjsko in Snežniško hribovje",Zidovnik (Sedovnik),169289,54,1,1,575,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveti Tomaž (Planinca),204021,58,3,2,572,cerkev
"Goriško, Notranjsko in Snežniško hribovje",Soteska Pekel 5. slap,341021,74,2,2,570,slap
"Goriško, Notranjsko in Snežniško hribovje",Stolovec,124375,49,1,1,563,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveta Ana (Razguri),1741,26,1,3,560,"vrh, jezero, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Dom na Sabotinu,443572,85,2,1,560,koča
"Goriško, Notranjsko in Snežniško hribovje",Sveti Socerb (Vipavska brda),5080,35,2,5,555,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Stari grad nad Želimljami,1530,24,1,1,555,vrh
"Goriško, Notranjsko in Snežniško hribovje",Štanjel (Sveti Danijel),50191,40,1,6,553,vrh
"Goriško, Notranjsko in Snežniško hribovje",Lešenjak,123045,49,1,1,552,vrh
"Goriško, Notranjsko in Snežniško hribovje",Volnik,382555,79,1,1,546,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sekirica,4580,34,2,5,545,vrh
"Goriško, Notranjsko in Snežniško hribovje",Griček,287,12,1,2,532,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveti Ambrož (Tabor),1400,23,2,3,531,vrh
"Goriško, Notranjsko in Snežniško hribovje",Štivanski log,1452,24,1,17,530,jezero
"Goriško, Notranjsko in Snežniško hribovje",Petelinjsko jezero,181483,56,1,7,530,jezero
"Goriško, Notranjsko in Snežniško hribovje",Plaz,3483,32,1,4,528,vrh
"Goriško, Notranjsko in Snežniško hribovje",Veliki hrib (kota 526),2690,30,1,3,526,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kuren (Sveti Miklavž),161304,53,1,6,526,"koča, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Školj sv. Pavla nad Vrtovinom,242209,63,4,6,520,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Planinski dom v Novem Svetu,193320,57,1,2,518,koča
"Goriško, Notranjsko in Snežniško hribovje",Rakov Škocjan,10660,38,3,33,517,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Gura,2291,28,1,5,510,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Veliki Gradež,192166,57,3,4,507,vrh
"Goriško, Notranjsko in Snežniško hribovje",Vrtovka,115740,48,1,1,502,vrh
"Goriško, Notranjsko in Snežniško hribovje",Skrivski izvir,990,21,1,3,500,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Planinska jama,239995,62,1,4,500,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Tri učke,220870,60,3,3,499,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kuk,299424,69,3,10,498,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveta Ana,551839,94,3,12,484,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Grčarevec,301,12,1,4,476,jezero
"Goriško, Notranjsko in Snežniško hribovje",Klada,806,19,1,7,475,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Veliki Medvejk / Monte Orsario,537,16,1,9,472,vrh
"Goriško, Notranjsko in Snežniško hribovje",Marija Snežna na Gradišcah,3532,32,2,5,467,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Veliki vrh (Črni hribi),133678,50,2,3,463,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mengore,403160,81,2,6,453,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Lačna,363550,77,6,8,451,vrh
"Goriško, Notranjsko in Snežniško hribovje",Tupla jama,93,6,1,4,450,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Laze,165,8,1,0,450,"jezero, planina"
"Goriško, Notranjsko in Snežniško hribovje",Zjat,212886,59,5,8,449,vrh
"Goriško, Notranjsko in Snežniško hribovje",Renški vrh,165279,54,1,1,449,vrh
"Goriško, Notranjsko in Snežniško hribovje",Vitovsko jezero,198600,58,1,3,445,jezero
"Goriško, Notranjsko in Snežniško hribovje",Soteska Pekel 3. slap,236045,62,1,1,445,"slap, jezero"
"Goriško, Notranjsko in Snežniško hribovje",Sveti Jožef (Mlečnik),157991,53,1,3,441,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Sveti Miklavž nad Vipavo,293184,69,2,6,438,cerkev
"Goriško, Notranjsko in Snežniško hribovje",Grad Socerb,520738,92,6,8,437,"vrh, koča, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Fajti hrib,319609,72,2,4,433,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveti Gregor na Dobravici,159619,53,1,3,432,cerkev
"Goriško, Notranjsko in Snežniško hribovje",Črnokalska Varda,5560,35,3,4,423,vrh
"Goriško, Notranjsko in Snežniško hribovje",Ostri Vrh nad Vipavsko dolino,192194,57,0,7,422,vrh
"Goriško, Notranjsko in Snežniško hribovje",Jama Vilenica,4008,33,1,4,420,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Iški Vintgar (Vrbica),381451,78,1,5,420,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Žalostna gora pri Preserju,254811,64,2,5,418,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Krog,132355,50,3,1,418,vrh
"Goriško, Notranjsko in Snežniško hribovje",Vrh križa,150560,52,3,2,411,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveti Rupert nad Drago,161373,53,1,3,409,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Sveti Kvirik,290595,68,2,3,408,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Grad Kostel,2220,28,2,9,406,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveti Pavel (nad Ročinjem),1200,22,3,8,403,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Izvir Nežice,232071,62,1,5,390,slap
"Goriško, Notranjsko in Snežniško hribovje",Prižnica,4483,34,2,5,383,vrh
"Goriško, Notranjsko in Snežniško hribovje",Tinjan,488486,89,6,14,374,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Udornica Risnik,2936,31,1,5,366,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Sveti Duh (Pedrovo),139718,51,2,1,365,cerkev
"Goriško, Notranjsko in Snežniško hribovje",Pomjan,8940,37,2,8,360,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Dom v Iškem Vintgarju,196533,57,1,1,360,"slap, koča, jezero"
"Goriško, Notranjsko in Snežniško hribovje",Orlovo gnezdo (Veli Badin),428606,83,2,10,359,vrh
"Goriško, Notranjsko in Snežniško hribovje",Divje jezero,343582,74,1,3,350,jezero
"Goriško, Notranjsko in Snežniško hribovje",Veliko Cerje,289937,68,3,6,343,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveti Lovrenc (Jezero),286039,68,1,5,329,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Sveti Kvirin na Paljevem,2090,27,2,4,321,cerkev
"Goriško, Notranjsko in Snežniško hribovje",Dolina reke Glinščice / Val Rosandra,542727,93,1,8,320,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Dolina Drage,3740,33,1,14,310,jezero
