ime,vrsta
Medvedje Brdo,cerkev
Korada,vrh
Korada,cerkev
Korada,vrh
Korada,cerkev
Globočak,vrh
Globočak,vrh
Mali Trebelnik,vrh
Mali Trebelnik,vrh
Sveti Lenart (Krvava Peč),vrh
Sveti Lenart (Krvava Peč),cerkev
Sveti Lenart (Krvava Peč),vrh
Sveti Lenart (Krvava Peč),cerkev
Ajdovščina,vrh
Ajdovščina,vrh
Lipnik,vrh
Lipnik,vrh
Zavetišče na Koradi,koča
Zavetišče na Koradi,koča
Kojnik,vrh
Kojnik,vrh
Ulovka,vrh
Ulovka,vrh
Otliško okno,vrh
Otliško okno,vrh
Slap Kotel,slap
Slap Kotel,jezero
Slap Kotel,slap
Slap Kotel,jezero
Ahac,vrh
Ahac,cerkev
Ahac,vrh
Ahac,cerkev
Gradiška Tura,vrh
Gradiška Tura,vrh
Gradišče (Čepan),vrh
Gradišče (Čepan),vrh
Rakitna,koča
Rakitna,jezero
Rakitna,cerkev
Rakitna,koča
Rakitna,jezero
Rakitna,cerkev
Sveta Marija na Planinski gori,cerkev
Sveta Marija na Planinski gori,cerkev
Vrh,vrh
Vrh,vrh
Lovska koča Vojkovo,koča
Lovska koča Vojkovo,koča
Trenk,koča
Trenk,koča
Ortneški Stari grad,vrh
Ortneški Stari grad,cerkev
Ortneški Stari grad,vrh
Ortneški Stari grad,cerkev
Pečna reber,vrh
Pečna reber,koča
Pečna reber,vrh
Pečna reber,koča
Planinski dom na Kureščku,koča
Planinski dom na Kureščku,koča
Razgledna točka Široko,vrh
Razgledna točka Široko,vrh
Sveti Primož in Felicijan (Osredek),vrh
Sveti Primož in Felicijan (Osredek),koča
Sveti Primož in Felicijan (Osredek),cerkev
Sveti Primož in Felicijan (Osredek),vrh
Sveti Primož in Felicijan (Osredek),koča
Sveti Primož in Felicijan (Osredek),cerkev
Šilentabor,vrh
Šilentabor,vrh
Bloško jezero,koča
Bloško jezero,jezero
Bloško jezero,koča
Bloško jezero,jezero
Veliko Gradišče,vrh
Veliko Gradišče,vrh
Dom na Goropekah,koča
Dom na Goropekah,koča
Planinski dom pod Ježo,koča
Planinski dom pod Ježo,koča
Sveti Gregor na Slemenih,vrh
Sveti Gregor na Slemenih,koča
Sveti Gregor na Slemenih,cerkev
Sveti Gregor na Slemenih,vrh
Sveti Gregor na Slemenih,koča
Sveti Gregor na Slemenih,cerkev
Hrpeljska gora,vrh
Hrpeljska gora,vrh
Škavnica,vrh
Škavnica,vrh
Koča na Planini nad Vrhniko,vrh
Koča na Planini nad Vrhniko,koča
Koča na Planini nad Vrhniko,vrh
Koča na Planini nad Vrhniko,koča
Koča na Kavcu,koča
Koča na Kavcu,koča
Čičer,koča
Čičer,koča
Šenčurjev vrh,vrh
Šenčurjev vrh,vrh
Sveti Urh (Zavratec),cerkev
Sveti Urh (Zavratec),cerkev
Sveti Martin (Šilentabor),cerkev
Sveti Martin (Šilentabor),cerkev
Primož,vrh
Primož,vrh
Planina Jegno,planina
Planina Jegno,planina
Stari grad,vrh
Stari grad,vrh
Obrovnik,vrh
Obrovnik,vrh
Mali Mošenik,vrh
Mali Mošenik,vrh
Grad Lož (Pusti grad),vrh
Grad Lož (Pusti grad),vrh
Sveti Janez Krstnik (Goropeke),cerkev
Sveti Janez Krstnik (Goropeke),cerkev
Sveta Gora,vrh
Sveta Gora,koča
Sveta Gora,cerkev
Sveta Gora,vrh
Sveta Gora,koča
