ime,vrsta
Gorejca,slap
Gorejca,slap
Slap Boka,slap
Slap Boka,slap
Jezero Kreda v dolini Radovne,jezero
Jezero Kreda v dolini Radovne,jezero
Izvir Bele,jezero
Izvir Bele,jezero
Izvir Lipnika,jezero
Izvir Lipnika,jezero
Spominsko obeležje Aleš Kunaver,jezero
Spominsko obeležje Aleš Kunaver,jezero
Jezerce v dolini Radovne,jezero
Jezerce v dolini Radovne,jezero
Koča pri Savici,koča
Koča pri Savici,koča
Peč (razgledišče),vrh
Peč (razgledišče),vrh
Straža,vrh
Straža,vrh
Marija Snežna v Breginjskem kotu,vrh
Marija Snežna v Breginjskem kotu,cerkev
Marija Snežna v Breginjskem kotu,vrh
Marija Snežna v Breginjskem kotu,cerkev
Sveta Katarina na Homu,cerkev
Sveta Katarina na Homu,cerkev
Izvir Bohinjske Bistrice,slap
Izvir Bohinjske Bistrice,slap
Poglejska cerkev,slap
Poglejska cerkev,slap
Dobra gora,vrh
Dobra gora,vrh
Blejski grad,vrh
Blejski grad,vrh
Ribenska gora,vrh
Ribenska gora,vrh
Ajdovski gradec,vrh
Ajdovski gradec,vrh
Korita Možnice (Nemčlje),slap
Korita Možnice (Nemčlje),slap
Javorca,planina
Javorca,cerkev
Javorca,planina
Javorca,cerkev
Jama Srnica,cerkev
Jama Srnica,cerkev
Iglica,vrh
Iglica,slap
Iglica,vrh
Iglica,slap
Sveti Janez Krstnik (Ribčev Laz),jezero
Sveti Janez Krstnik (Ribčev Laz),cerkev
Sveti Janez Krstnik (Ribčev Laz),jezero
Sveti Janez Krstnik (Ribčev Laz),cerkev
Slap Šum v Blejskem Vintgarju,slap
Slap Šum v Blejskem Vintgarju,slap
Mlina peč,vrh
Mlina peč,vrh
Žičnica čez Tolminko,vrh
Žičnica čez Tolminko,vrh
Tonovcov grad pri Kobaridu,vrh
Tonovcov grad pri Kobaridu,vrh
Gradišče (Bodešče),vrh
Gradišče (Bodešče),vrh
Sveti Lenart (Bodešče),cerkev
Sveti Lenart (Bodešče),cerkev
Velika korita Soče,cerkev
Velika korita Soče,cerkev
Blejsko jezero,jezero
Blejsko jezero,cerkev
Blejsko jezero,jezero
Blejsko jezero,cerkev
Slap Beri,slap
Slap Beri,slap
Izvir Glijuna,slap
Izvir Glijuna,slap
Mala Boka,slap
Mala Boka,slap
Kozlov rob,vrh
Kozlov rob,vrh
Slap Sopota (Soupat),slap
Slap Sopota (Soupat),slap
Slap Virje,slap
Slap Virje,jezero
Slap Virje,slap
Slap Virje,jezero
Gregorčičev slap,slap
Gregorčičev slap,slap
Korita Soče pri Kršovcu,slap
Korita Soče pri Kršovcu,slap
Slap Veliki Kozjak,slap
Slap Veliki Kozjak,jezero
Slap Veliki Kozjak,slap
Slap Veliki Kozjak,jezero
Slap Mali Kozjak,slap
Slap Mali Kozjak,slap
Tolminska korita,slap
Tolminska korita,slap
Grintovec,vrh
Grintovec,vrh
Jezerska Kočna,vrh
Jezerska Kočna,vrh
Skuta,vrh
Skuta,vrh
Kokrska Kočna,vrh
Kokrska Kočna,vrh
Na Križu (Kokrska Kočna),vrh
Na Križu (Kokrska Kočna),vrh
Dolgi hrbet,vrh
Dolgi hrbet,vrh
Štruca,vrh
Štruca,vrh
Kranjska Rinka,vrh
Kranjska Rinka,vrh
Koroška Rinka (Križ),vrh
Koroška Rinka (Križ),vrh
Planjava - zahodni vrh,vrh
Planjava - zahodni vrh,vrh
Planjava,vrh
Planjava,vrh
Štajerska Rinka,vrh
Štajerska Rinka,vrh
Ojstrica,vrh
Ojstrica,vrh
Lučka Brana (Baba),vrh
Lučka Brana (Baba),vrh
Mala Rinka,vrh
Mala Rinka,vrh
Brana,vrh
Brana,vrh
Turska gora,vrh
Turska gora,vrh
Kalški greben,vrh
Kalški greben,vrh
Mrzla gora,vrh
Mrzla gora,vrh
Storžič,vrh
Storžič,vrh
Najvišji rob (Zeleniške špice),vrh
Najvišji rob (Zeleniške špice),vrh
Velika (Koroška) Baba,vrh
Velika (Koroška) Baba,vrh
Velika Zelenica,vrh
Velika Zelenica,vrh
Storžek,vrh
Storžek,vrh
Veliki vrh (Veža),vrh
Veliki vrh (Veža),vrh
Ledinski vrh,vrh
Ledinski vrh,vrh
Kogel,vrh
Kogel,vrh
Bivak pod Grintovcem,bivak
Bivak pod Grintovcem,bivak
Krofička,vrh
Krofička,vrh
Bivak pod Skuto,bivak
Bivak pod Skuto,bivak
Velika Raduha,vrh
Velika Raduha,vrh
Kalška gora,vrh
Kalška gora,vrh
Mala Raduha,vrh
Mala Raduha,vrh
Molička peč,vrh
Molička peč,vrh
Lučki Dedec,vrh
Lučki Dedec,vrh
Mala Ojstrica,vrh
Mala Ojstrica,vrh
Vrh Korena,vrh
Vrh Korena,vrh
Kompotela,vrh
Kompotela,vrh
Tolsti vrh (Veža),vrh
Tolsti vrh (Veža),vrh
Vršiči,vrh
Vršiči,vrh
Bivak pod Mrzlim vrhom,bivak
Bivak pod Mrzlim vrhom,bivak
Košutna,vrh
Košutna,vrh
Veliki Zvoh,vrh
Veliki Zvoh,jezero
Veliki Zvoh,vrh
Veliki Zvoh,jezero
Deska (Veža),vrh
Deska (Veža),vrh
Vežica,vrh
Vežica,vrh
Dleskovec,vrh
Dleskovec,vrh
Matkova kopa,vrh
Matkova kopa,vrh
Bivak v Kočni,bivak
Bivak v Kočni,bivak
Lanež,vrh
Lanež,vrh
Jamarski bivak na Dleskovški planoti,bivak
Jamarski bivak na Dleskovški planoti,bivak
Križevnik,vrh
Križevnik,vrh
Rjavčki vrh (Planinšca),vrh
Rjavčki vrh (Planinšca),vrh
Kamniška koča na Kamniškem sedlu,koča
Kamniška koča na Kamniškem sedlu,bivak
Kamniška koča na Kamniškem sedlu,sedlo
Kamniška koča na Kamniškem sedlu,koča
Kamniška koča na Kamniškem sedlu,bivak
Kamniška koča na Kamniškem sedlu,sedlo
Krvavec,vrh
Krvavec,vrh
Mokrica,vrh
Mokrica,vrh
Srednji vrh,vrh
Srednji vrh,vrh
Vodotočno jezero (Veža),jezero
Vodotočno jezero (Veža),planina
Vodotočno jezero (Veža),jezero
Vodotočno jezero (Veža),planina
Lastovec,vrh
Lastovec,vrh
Planina Dolga trata,bivak
Planina Dolga trata,planina
Planina Dolga trata,bivak
Planina Dolga trata,planina
Rzenik,vrh
Rzenik,vrh
Cjanovca,vrh
Cjanovca,vrh
Mali Grintovec,vrh
Mali Grintovec,vrh
Jelovec,vrh
Jelovec,vrh
Kocbekov dom na Korošici,koča
Kocbekov dom na Korošici,bivak
Kocbekov dom na Korošici,planina
Kocbekov dom na Korošici,koča
Kocbekov dom na Korošici,bivak
Kocbekov dom na Korošici,planina
Konj,vrh
Konj,vrh
Vratca,vrh
Vratca,vrh
Cojzova koča na Kokrskem sedlu,koča
Cojzova koča na Kokrskem sedlu,bivak
Cojzova koča na Kokrskem sedlu,sedlo
Cojzova koča na Kokrskem sedlu,koča
Cojzova koča na Kokrskem sedlu,bivak
Cojzova koča na Kokrskem sedlu,sedlo
Goli vrh,vrh
Goli vrh,vrh
Kapelica na Molički planini,koča
Kapelica na Molički planini,planina
Kapelica na Molički planini,sedlo
Kapelica na Molički planini,cerkev
Kapelica na Molički planini,koča
Kapelica na Molički planini,planina
Kapelica na Molički planini,sedlo
Kapelica na Molički planini,cerkev
Planina Košutna,planina
Planina Košutna,cerkev
Planina Košutna,planina
Planina Košutna,cerkev
Strelovec,vrh
Strelovec,vrh
Bašeljski vrh,vrh
Bašeljski vrh,vrh
Veliki vrh,vrh
Veliki vrh,vrh
Licjanovec,vrh
Licjanovec,vrh
Tolsti vrh,vrh
Tolsti vrh,vrh
Kranjska koča na Ledinah,koča
Kranjska koča na Ledinah,bivak
Kranjska koča na Ledinah,koča
Kranjska koča na Ledinah,bivak
Planina Polšak,planina
Planina Polšak,planina
Planina Dolga njiva (Krvavec),planina
Planina Dolga njiva (Krvavec),planina
Komen,vrh
Komen,cerkev
Komen,vrh
Komen,cerkev
Dom na Krvavcu,koča
Dom na Krvavcu,planina
Dom na Krvavcu,koča
Dom na Krvavcu,planina
Planina Koren,planina
Planina Koren,planina
Gradišče (Velika planina),vrh
Gradišče (Velika planina),planina
Gradišče (Velika planina),vrh
Gradišče (Velika planina),planina
Kržišče (Pokovše),vrh
Kržišče (Pokovše),vrh
Planina Rzenik,planina
Planina Rzenik,planina
Koritni vrh (Velika planina),vrh
Koritni vrh (Velika planina),vrh
Veliki Travnik,vrh
Veliki Travnik,vrh
Šentanski vrh,vrh
Šentanski vrh,vrh
Dobrča,vrh
Dobrča,vrh
Kozji vrh,vrh
Kozji vrh,vrh
Krnes,vrh
Krnes,vrh
Gostišče Zeleni Rob,koča
Gostišče Zeleni Rob,planina
Gostišče Zeleni Rob,koča
Gostišče Zeleni Rob,planina
Hotel Krvavec,koča
Hotel Krvavec,planina
Hotel Krvavec,koča
Hotel Krvavec,planina
Planina Dolga njiva,planina
Planina Dolga njiva,planina
Planina Javorje,planina
Planina Javorje,planina
Vrata,vrh
Vrata,vrh
Boskovec,vrh
Boskovec,vrh
Kamniški Dedec,vrh
Kamniški Dedec,vrh
Smrekovec,vrh
Smrekovec,vrh
Medvedjak,vrh
Medvedjak,vrh
Planina Vodole,planina
Planina Vodole,planina
Poljanski rob,vrh
Poljanski rob,planina
Poljanski rob,vrh
Poljanski rob,planina
Planina Arta,planina
Planina Arta,planina
Planina Podvežak,planina
Planina Podvežak,planina
Kapela Marije Snežne (Velika planina),vrh
Kapela Marije Snežne (Velika planina),planina
Kapela Marije Snežne (Velika planina),cerkev
Kapela Marije Snežne (Velika planina),vrh
Kapela Marije Snežne (Velika planina),planina
Kapela Marije Snežne (Velika planina),cerkev
Veliki Rogatec (Veliki Rogac),vrh
Veliki Rogatec (Veliki Rogac),vrh
Koča na Travniku,koča
Koča na Travniku,bivak
Koča na Travniku,planina
Koča na Travniku,koča
Koča na Travniku,bivak
Koča na Travniku,planina
Češka koča na Spodnjih Ravneh,koča
Češka koča na Spodnjih Ravneh,bivak
Češka koča na Spodnjih Ravneh,koča
Češka koča na Spodnjih Ravneh,bivak
Veliki vrh nad Matkovim kotom,vrh
Veliki vrh nad Matkovim kotom,vrh
Logarska peč,vrh
Logarska peč,vrh
Koča na Loki pod Raduho,koča
Koča na Loki pod Raduho,planina
Koča na Loki pod Raduho,cerkev
Koča na Loki pod Raduho,koča
Koča na Loki pod Raduho,planina
Koča na Loki pod Raduho,cerkev
Domžalski dom na Mali planini,koča
Domžalski dom na Mali planini,planina
Domžalski dom na Mali planini,koča
Domžalski dom na Mali planini,planina
Dom na Kališču,koča
Dom na Kališču,koča
Mali Travnik,vrh
Mali Travnik,vrh
Koča na Treh plotih,koča
Koča na Treh plotih,jezero
Koča na Treh plotih,sedlo
Koča na Treh plotih,koča
Koča na Treh plotih,jezero
Koča na Treh plotih,sedlo
Črnuški dom na Mali planini,koča
Črnuški dom na Mali planini,planina
Črnuški dom na Mali planini,koča
Črnuški dom na Mali planini,planina
Icmanikova planina,planina
Icmanikova planina,sedlo
Icmanikova planina,planina
Icmanikova planina,sedlo
Knezova planina,planina
Knezova planina,planina
Jarški dom na Mali planini,koča
Jarški dom na Mali planini,planina
Jarški dom na Mali planini,koča
Jarški dom na Mali planini,planina
Vivodnik,vrh
Vivodnik,vrh
Planina Konjščica (Velika planina),planina
Planina Konjščica (Velika planina),planina
Planina Ravne,planina
Planina Ravne,planina
Planina Mali Travnik,planina
Planina Mali Travnik,planina
Špic,vrh
Špic,vrh
Jenkova planina,planina
Jenkova planina,sedlo
Jenkova planina,planina
Jenkova planina,sedlo
Dom na Gospincu (Hotel Rozka),koča
Dom na Gospincu (Hotel Rozka),planina
Dom na Gospincu (Hotel Rozka),koča
Dom na Gospincu (Hotel Rozka),planina
Kriška planina,koča
Kriška planina,planina
Kriška planina,koča
Kriška planina,planina
Grebenc,vrh
Grebenc,vrh
Koča na Dobrči,koča
Koča na Dobrči,koča
Koča na Kriški gori,koča
Koča na Kriški gori,koča
Javorca (Golte),planina
Javorca (Golte),planina
Koča na Grohatu,koča
Koča na Grohatu,planina
Koča na Grohatu,koča
Koča na Grohatu,planina
Visoki vrh nad Jezerskim,vrh
Visoki vrh nad Jezerskim,vrh
Dom na Menini planini,koča
Dom na Menini planini,planina
Dom na Menini planini,cerkev
Dom na Menini planini,koča
Dom na Menini planini,planina
Dom na Menini planini,cerkev
Račka vrata,cerkev
Račka vrata,cerkev
Planina Kališče,planina
Planina Kališče,planina
Lešanska planina,koča
Lešanska planina,planina
Lešanska planina,koča
Lešanska planina,planina
Kranjska reber,vrh
Kranjska reber,vrh
Javorov vrh,vrh
Javorov vrh,vrh
Turni (pri Kozjem vrhu),vrh
Turni (pri Kozjem vrhu),vrh
Pri Pastirjih,bivak
Pri Pastirjih,planina
Pri Pastirjih,bivak
Pri Pastirjih,planina
Goli vrh (Šavnice),vrh
Goli vrh (Šavnice),vrh
Lepenatka,vrh
Lepenatka,vrh
Čisovec,vrh
Čisovec,vrh
Planina Jezerca,planina
Planina Jezerca,planina
Hotel Golte,koča
Hotel Golte,planina
Hotel Golte,koča
Hotel Golte,planina
Velika Poljana,koča
Velika Poljana,planina
Velika Poljana,sedlo
Velika Poljana,koča
Velika Poljana,planina
Velika Poljana,sedlo
Javornik nad Jezerskim,vrh
Javornik nad Jezerskim,vrh
Dom na Okrešlju,koča
Dom na Okrešlju,bivak
Dom na Okrešlju,planina
Dom na Okrešlju,koča
Dom na Okrešlju,bivak
Dom na Okrešlju,planina
Krničarjeva koča na planini Javornik,planina
Krničarjeva koča na planini Javornik,planina
Praprotnikova koča,planina
Praprotnikova koča,planina
Dom na Smrekovcu,koča
Dom na Smrekovcu,koča
Mozirska koča na Golteh,koča
Mozirska koča na Golteh,koča
Knezova planina (Planina Bela peč),planina
Knezova planina (Planina Bela peč),sedlo
Knezova planina (Planina Bela peč),planina
Knezova planina (Planina Bela peč),sedlo
Slap Čedca,slap
Slap Čedca,slap
Kunšperski vrh (Brezovec),vrh
Kunšperski vrh (Brezovec),vrh
Povšnarjeva planina,planina
Povšnarjeva planina,planina
Zavetišče v Hudičevem borštu,planina
Zavetišče v Hudičevem borštu,planina
Izletniška kmetija Bukovc (Bukovnik),koča
Izletniška kmetija Bukovc (Bukovnik),planina
Izletniška kmetija Bukovc (Bukovnik),koča
Izletniška kmetija Bukovc (Bukovnik),planina
Bezovec,vrh
Bezovec,vrh
Mala Poljana,koča
Mala Poljana,planina
Mala Poljana,koča
Mala Poljana,planina
Planina Vodol,planina
Planina Vodol,planina
Ovča koča,planina
Ovča koča,planina
Plesnikova planina,planina
Plesnikova planina,planina
Kašna planina,planina
Kašna planina,planina
Planina Dol,planina
Planina Dol,planina
Lovska koča Črnevka,planina
Lovska koča Črnevka,planina
Zavetišče na Biba planini,koča
Zavetišče na Biba planini,planina
Zavetišče na Biba planini,koča
Zavetišče na Biba planini,planina
Murijeva planina,planina
Murijeva planina,planina
Bivak na Kalu,koča
Bivak na Kalu,sedlo
Bivak na Kalu,koča
Bivak na Kalu,sedlo
Potoška gora,vrh
Potoška gora,vrh
Skubrov vrh,vrh
Skubrov vrh,vrh
Dom na Kisovcu,koča
Dom na Kisovcu,planina
Dom na Kisovcu,koča
Dom na Kisovcu,planina
Kamniški vrh,vrh
Kamniški vrh,bivak
Kamniški vrh,vrh
Kamniški vrh,bivak
Planjava pri Kamniškem vrhu,vrh
Planjava pri Kamniškem vrhu,vrh
Turni,vrh
Turni,vrh
Mali Rogatec (Mali Rogac),vrh
Mali Rogatec (Mali Rogac),vrh
Partizanska bolnica Mrzle vode,vrh
Partizanska bolnica Mrzle vode,vrh
Planina Marjanine njive,planina
Planina Marjanine njive,planina
Koča na Klemenči jami,koča
Koča na Klemenči jami,planina
Koča na Klemenči jami,koča
Koča na Klemenči jami,planina
Ojstri vrh (nad Prevalo),vrh
Ojstri vrh (nad Prevalo),vrh
Kopa (Belska Kopa),vrh
Kopa (Belska Kopa),vrh
Planina Travnik,planina
Planina Travnik,planina
Počka (Robnikova) planina,planina
Počka (Robnikova) planina,planina
Prevala,planina
Prevala,sedlo
Prevala,planina
Prevala,sedlo
Škrbina (Slaparjeva gora),vrh
Škrbina (Slaparjeva gora),vrh
Pleče,vrh
Pleče,vrh
Dom pod Storžičem,koča
Dom pod Storžičem,koča
Smokuški vrh,vrh
Smokuški vrh,vrh
Orlovo gnezdo (Slap Rinka),slap
Orlovo gnezdo (Slap Rinka),koča
Orlovo gnezdo (Slap Rinka),slap
Orlovo gnezdo (Slap Rinka),koča
Baba,vrh
Baba,vrh
Mihčeva kopišča,planina
Mihčeva kopišča,planina
Breška planina,planina
Breška planina,planina
Planina Osredek,planina
Planina Osredek,planina
Mešenik,vrh
Mešenik,vrh
Ambrož pod Krvavcem,koča
Ambrož pod Krvavcem,planina
Ambrož pod Krvavcem,cerkev
Ambrož pod Krvavcem,koča
Ambrož pod Krvavcem,planina
Ambrož pod Krvavcem,cerkev
Tolsti vrh (Dobrovlje),vrh
Tolsti vrh (Dobrovlje),vrh
Planina Ravni,planina
Planina Ravni,planina
Bistriška planina,planina
Bistriška planina,sedlo
Bistriška planina,planina
Bistriška planina,sedlo
Sveti Križ nad Belimi Vodami,vrh
Sveti Križ nad Belimi Vodami,cerkev
Sveti Križ nad Belimi Vodami,vrh
Sveti Križ nad Belimi Vodami,cerkev
Vaško,vrh
Vaško,vrh
Kopa (Partizanski vrh),vrh
Kopa (Partizanski vrh),vrh
Prgozdnik,vrh
Prgozdnik,vrh
Smolnik,vrh
Smolnik,vrh
Vrhe,vrh
Vrhe,vrh
Planinska koča Iskra na Jakobu,koča
Planinska koča Iskra na Jakobu,cerkev
Planinska koča Iskra na Jakobu,koča
Planinska koča Iskra na Jakobu,cerkev
Sveti Jošt nad Vranskim,cerkev
Sveti Jošt nad Vranskim,cerkev
Sveta Mati Božja na Čreti,cerkev
Sveta Mati Božja na Čreti,cerkev
Sveti Ahac (Kališe),cerkev
Sveti Ahac (Kališe),cerkev
Vovar,vrh
Vovar,vrh
Planinska koča pri Franciju,koča
Planinska koča pri Franciju,koča
Sveti Lenart nad Gornjim Gradom,cerkev
Sveti Lenart nad Gornjim Gradom,cerkev
Planica (vzletišče Gozd),vrh
Planica (vzletišče Gozd),vrh
Matkov kot,vrh
Matkov kot,vrh
Skutman,vrh
Skutman,vrh
Grmada (Dobrovlje),vrh
Grmada (Dobrovlje),vrh
Sveti Lovrenc (Bašelj),cerkev
Sveti Lovrenc (Bašelj),cerkev
Zavetišče v Gozdu,koča
Zavetišče v Gozdu,cerkev
Zavetišče v Gozdu,koča
Zavetišče v Gozdu,cerkev
Robanova planina,planina
Robanova planina,planina
Lomek (Lom),vrh
Lomek (Lom),vrh
Sveti Primož nad Ljubnim,cerkev
Sveti Primož nad Ljubnim,cerkev
Gradišče (Pustinjak),vrh
Gradišče (Pustinjak),vrh
Dom na Čreti,koča
Dom na Čreti,cerkev
Dom na Čreti,koča
Dom na Čreti,cerkev
Slap Orglice,slap
Slap Orglice,slap
Sankaška koča,koča
Sankaška koča,koča
Mali vrh nad Završnico,vrh
Mali vrh nad Završnico,vrh
Sveti Janez in Pavel (Dobrovlje),planina
Sveti Janez in Pavel (Dobrovlje),sedlo
Sveti Janez in Pavel (Dobrovlje),cerkev
Sveti Janez in Pavel (Dobrovlje),planina
Sveti Janez in Pavel (Dobrovlje),sedlo
Sveti Janez in Pavel (Dobrovlje),cerkev
Dom na Lovrencu (Bašelj),koča
Dom na Lovrencu (Bašelj),koča
Bezovec (Dobrovlje),vrh
Bezovec (Dobrovlje),vrh
Sveti Vid (nad Zgornjim Tuhinjem),cerkev
Sveti Vid (nad Zgornjim Tuhinjem),cerkev
Cerkev sv. Petra nad Črno pri Kamniku,cerkev
Cerkev sv. Petra nad Črno pri Kamniku,cerkev
Zapečnikova planina,planina
Zapečnikova planina,planina
Sveti Peter nad Begunjami,cerkev
Sveti Peter nad Begunjami,cerkev
Dom Čemšenik,koča
Dom Čemšenik,koča
Sveti Primož nad Kamnikom,koča
Sveti Primož nad Kamnikom,cerkev
Sveti Primož nad Kamnikom,koča
Sveti Primož nad Kamnikom,cerkev
Korošaški slapovi,slap
Korošaški slapovi,slap
Razgledišče Skroti,slap
Razgledišče Skroti,slap
Sveti Miklavž na Gori,vrh
Sveti Miklavž na Gori,cerkev
Sveti Miklavž na Gori,vrh
Sveti Miklavž na Gori,cerkev
Tominčev slap,slap
Tominčev slap,slap
Štefanja gora,vrh
Štefanja gora,cerkev
Štefanja gora,vrh
Štefanja gora,cerkev
Dom na Dobrovljah,koča
Dom na Dobrovljah,koča
Sveti Florjan nad Gornjim Gradom,cerkev
Sveti Florjan nad Gornjim Gradom,cerkev
Apnišče,vrh
Apnišče,vrh
Gora Oljka,vrh
Gora Oljka,koča
Gora Oljka,cerkev
Gora Oljka,vrh
Gora Oljka,koča
Gora Oljka,cerkev
Slap Palenk,slap
Slap Palenk,slap
Stiška vas,cerkev
Stiška vas,cerkev
Sveti Lovrenc nad Zabreznico,vrh
Sveti Lovrenc nad Zabreznico,cerkev
Sveti Lovrenc nad Zabreznico,vrh
Sveti Lovrenc nad Zabreznico,cerkev
Jamna peč,cerkev
Jamna peč,cerkev
Vrholanov vrh (Ravne pri Šoštanju),vrh
Vrholanov vrh (Ravne pri Šoštanju),vrh
Dom planincev Farbanca,koča
Dom planincev Farbanca,koča
Sveti Nikolaj (Možjanca),cerkev
Sveti Nikolaj (Možjanca),cerkev
Spominski park v Kamniški Bistrici,cerkev
Spominski park v Kamniški Bistrici,cerkev
Sveta Neža (Brezje pri Tržiču),cerkev
Sveta Neža (Brezje pri Tržiču),cerkev
Sveti Jurij nad Tržičem,vrh
Sveti Jurij nad Tržičem,cerkev
Sveti Jurij nad Tržičem,vrh
Sveti Jurij nad Tržičem,cerkev
Šenturška Gora,vrh
Šenturška Gora,koča
Šenturška Gora,cerkev
Šenturška Gora,vrh
Šenturška Gora,koča
Šenturška Gora,cerkev
Grad Gutenberk (Hudi grad),vrh
Grad Gutenberk (Hudi grad),vrh
Sv. Miklavž nad Mačami,cerkev
Sv. Miklavž nad Mačami,cerkev
Novi grad (Pusti grad),vrh
Novi grad (Pusti grad),vrh
Grad Kamen,vrh
Grad Kamen,vrh
Brezovec,vrh
Brezovec,vrh
Dom v Kamniški Bistrici,koča
Dom v Kamniški Bistrici,jezero
Dom v Kamniški Bistrici,cerkev
Dom v Kamniški Bistrici,koča
Dom v Kamniški Bistrici,jezero
Dom v Kamniški Bistrici,cerkev
Koželj,vrh
Koželj,vrh
Veliko Gradišče,vrh
Veliko Gradišče,vrh
Senčnica Josipine Turnograjske,vrh
Senčnica Josipine Turnograjske,vrh
Planinski dom Šentjungert,vrh
Planinski dom Šentjungert,koča
Planinski dom Šentjungert,cerkev
Planinski dom Šentjungert,vrh
Planinski dom Šentjungert,koča
Planinski dom Šentjungert,cerkev
Sevčnik,vrh
Sevčnik,vrh
Malo Gradišče,vrh
Malo Gradišče,vrh
Sveti Jakob (Jakec),cerkev
Sveti Jakob (Jakec),cerkev
Kriva jelka,bivak
Kriva jelka,bivak
Brunški vrh,vrh
Brunški vrh,vrh
Mokrišče Blata,vrh
Mokrišče Blata,vrh
Sebenje,vrh
Sebenje,vrh
Lipnik (pri Velenju),vrh
Lipnik (pri Velenju),vrh
Bazilika Marije Pomagaj na Brezjah,cerkev
Bazilika Marije Pomagaj na Brezjah,cerkev
Sveta Ana (Tunjice),vrh
Sveta Ana (Tunjice),cerkev
Sveta Ana (Tunjice),vrh
Sveta Ana (Tunjice),cerkev
V Boštkú,cerkev
V Boštkú,cerkev
Vinski vrh (Vimperk),vrh
Vinski vrh (Vimperk),cerkev
Vinski vrh (Vimperk),vrh
Vinski vrh (Vimperk),cerkev
Grad Velenje,vrh
Grad Velenje,vrh
Slap Peračica,slap
Slap Peračica,jezero
Slap Peračica,slap
Slap Peračica,jezero
Šobčev bajer,jezero
Šobčev bajer,jezero
Turistična kmetija Trnovc,koča
Turistična kmetija Trnovc,koča
Grad Žovnek,vrh
Grad Žovnek,vrh
Šoštanj,vrh
Šoštanj,vrh
Planinski dom Milana Šinkovca,koča
Planinski dom Milana Šinkovca,koča
Stol,vrh
Stol,vrh
Vrtača,vrh
Vrtača,vrh
Prešernova koča na Stolu,vrh
Prešernova koča na Stolu,koča
Prešernova koča na Stolu,vrh
Prešernova koča na Stolu,koča
Kepa,vrh
Kepa,vrh
Ojstrc / Hochobir,vrh
Ojstrc / Hochobir,vrh
Košutnikov turn,vrh
Košutnikov turn,vrh
Kordeževa glava (Peca),vrh
Kordeževa glava (Peca),vrh
Bistriška špica/Feistritzer Spitze,vrh
Bistriška špica/Feistritzer Spitze,vrh
Končnikov vrh,vrh
Končnikov vrh,vrh
Vajnež,vrh
Vajnež,vrh
Celovška špica,vrh
Celovška špica,vrh
Veliko Kladivo,vrh
Veliko Kladivo,vrh
Veliki vrh (Košuta),vrh
Veliki vrh (Košuta),vrh
Dovška Mala Kepa,vrh
Dovška Mala Kepa,vrh
Velika glava,vrh
Velika glava,vrh
Veška kopa/Wackendorfer Spitze,vrh
Veška kopa/Wackendorfer Spitze,vrh
Begunjščica,vrh
Begunjščica,vrh
Tolsta Košuta - Vzhodni vrh,vrh
Tolsta Košuta - Vzhodni vrh,vrh
Malo Kladivo,vrh
Malo Kladivo,vrh
Gubno,vrh
Gubno,vrh
Tolsta Košuta - Zahodni vrh,vrh
Tolsta Košuta - Zahodni vrh,vrh
Palec,vrh
Palec,vrh
Pungartska gora,vrh
Pungartska gora,vrh
Ovčji vrh (Kozjak) / Geissberg (Kosiak),vrh
Ovčji vrh (Kozjak) / Geissberg (Kosiak),vrh
Zelenjak,vrh
Zelenjak,vrh
Mali vrh,vrh
Mali vrh,vrh
Kravji vrh / Kuhberg,vrh
Kravji vrh / Kuhberg,vrh
Potoški Stol,vrh
Potoški Stol,vrh
Toplar,vrh
Toplar,vrh
Begunjska Vrtača,vrh
Begunjska Vrtača,vrh
Košutica,vrh
Košutica,vrh
Kofce gora,vrh
Kofce gora,vrh
Cjajnik / Lärchenturm,vrh
Cjajnik / Lärchenturm,vrh
Svačica,vrh
Svačica,vrh
Struška,vrh
Struška,vrh
Trupejevo poldne,vrh
Trupejevo poldne,vrh
Govca (Olševa),vrh
Govca (Olševa),vrh
Bele peči (Lepi vrh),vrh
Bele peči (Lepi vrh),vrh
Setiče/Freiberg,vrh
Setiče/Freiberg,vrh
Srednja peč,vrh
Srednja peč,vrh
Žleb (Suho ruševje),sedlo
Žleb (Suho ruševje),sedlo
Obel kamen (Olševa),vrh
Obel kamen (Olševa),vrh
Dovška Baba,vrh
Dovška Baba,vrh
Škrbina,sedlo
Škrbina,sedlo
Murnovc,vrh
Murnovc,vrh
Kamnitnik,vrh
Kamnitnik,vrh
Grlovec / Ferlacher Horn,vrh
Grlovec / Ferlacher Horn,vrh
Kresišče,vrh
Kresišče,vrh
Golica,vrh
Golica,vrh
Visoki vrh,vrh
Visoki vrh,vrh
Kraguljše,vrh
Kraguljše,vrh
Maloško poldne / Mallestiger Mittagskogel,vrh
Maloško poldne / Mallestiger Mittagskogel,vrh
Mojstrovica,vrh
Mojstrovica,vrh
Lokovnikov Grintovec / Grintoutz,vrh
Lokovnikov Grintovec / Grintoutz,vrh
Plešivec,vrh
Plešivec,vrh
Ostra peč / Mallestiger Mittagskogel,vrh
Ostra peč / Mallestiger Mittagskogel,vrh
Srednji vrh (nad Završnico),vrh
Srednji vrh (nad Završnico),vrh
Rjavca / Rjautza,vrh
Rjavca / Rjautza,vrh
Na Možeh,vrh
Na Možeh,vrh
Krvavka,vrh
Krvavka,vrh
Hruški vrh,vrh
Hruški vrh,vrh
