gorovje,ime,ogledi,priljubljenost,st_poti,st_slik,visina,vrsta
"Goriško, Notranjsko in Snežniško hribovje",Bivak Zanuso na Kolovratu,171823,55,2,4,1065,"bivak, sedlo"
"Goriško, Notranjsko in Snežniško hribovje",Bivak Zanuso na Kolovratu,171823,55,2,4,1065,"bivak, sedlo"
"Goriško, Notranjsko in Snežniško hribovje",Mokrc,313822,71,1,2,1059,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mokrc,313822,71,1,2,1059,vrh
"Goriško, Notranjsko in Snežniško hribovje",Ostrič,346081,75,1,3,1056,vrh
"Goriško, Notranjsko in Snežniško hribovje",Ostrič,346081,75,1,3,1056,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mala gora,478297,88,4,13,1034,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Mala gora,478297,88,4,13,1034,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Bele ovce,248681,63,1,2,1029,vrh
"Goriško, Notranjsko in Snežniško hribovje",Bele ovce,248681,63,1,2,1029,vrh
"Goriško, Notranjsko in Snežniško hribovje",Slavnik,879235,99,7,12,1028,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Slavnik,879235,99,7,12,1028,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Vremščica,724622,98,8,14,1027,vrh
"Goriško, Notranjsko in Snežniško hribovje",Vremščica,724622,98,8,14,1027,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveti Hieronim,339124,74,7,5,1020,cerkev
"Goriško, Notranjsko in Snežniško hribovje",Sveti Hieronim,339124,74,7,5,1020,cerkev
"Goriško, Notranjsko in Snežniško hribovje",Gora (Sveti Lovrenc),474773,88,3,8,1019,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Gora (Sveti Lovrenc),474773,88,3,8,1019,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Špilnik,3140,31,2,6,1018,vrh
"Goriško, Notranjsko in Snežniško hribovje",Špilnik,3140,31,2,6,1018,vrh
"Goriško, Notranjsko in Snežniško hribovje",Koča na Kamnem griču,295558,69,7,8,1016,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Koča na Kamnem griču,295558,69,7,8,1016,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Firstov rep,6350,36,5,4,1002,"</div>
  
        <div class=""g2""><b>Vremenska napoved:</b>"
"Goriško, Notranjsko in Snežniško hribovje",Firstov rep,6350,36,5,4,1002,"</div>
  
        <div class=""g2""><b>Vremenska napoved:</b>"
"Goriško, Notranjsko in Snežniško hribovje",Sinji vrh,582654,95,11,16,1002,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sinji vrh,582654,95,11,16,1002,vrh
"Goriško, Notranjsko in Snežniško hribovje",Županov vrh,328850,73,6,15,999,vrh
"Goriško, Notranjsko in Snežniško hribovje",Županov vrh,328850,73,6,15,999,vrh
"Goriško, Notranjsko in Snežniško hribovje",Novaška gora,193662,57,1,1,998,vrh
"Goriško, Notranjsko in Snežniško hribovje",Novaška gora,193662,57,1,1,998,vrh
"Goriško, Notranjsko in Snežniško hribovje",Grmada pri Slavniku,343420,74,2,5,998,vrh
"Goriško, Notranjsko in Snežniško hribovje",Grmada pri Slavniku,343420,74,2,5,998,vrh
"Goriško, Notranjsko in Snežniško hribovje",Koča na Kozleku,361362,76,3,4,997,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Koča na Kozleku,361362,76,3,4,997,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Špiček (Špečk),241950,63,3,12,986,vrh
"Goriško, Notranjsko in Snežniško hribovje",Špiček (Špečk),241950,63,3,12,986,vrh
"Goriško, Notranjsko in Snežniško hribovje",Lovsko zavetišče pod Čavnom,212604,59,1,2,980,"vrh, bivak"
"Goriško, Notranjsko in Snežniško hribovje",Lovsko zavetišče pod Čavnom,212604,59,1,2,980,"vrh, bivak"
"Goriško, Notranjsko in Snežniško hribovje",Volovja reber,265678,65,1,3,975,vrh
"Goriško, Notranjsko in Snežniško hribovje",Volovja reber,265678,65,1,3,975,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveti Bric (Nanos),251410,64,2,3,965,cerkev
"Goriško, Notranjsko in Snežniško hribovje",Sveti Bric (Nanos),251410,64,2,3,965,cerkev
"Goriško, Notranjsko in Snežniško hribovje",Rotovc,287761,68,4,7,964,vrh
"Goriško, Notranjsko in Snežniško hribovje",Rotovc,287761,68,4,7,964,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mišnice,4090,33,2,1,961,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mišnice,4090,33,2,1,961,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kovk,390298,79,3,6,961,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kovk,390298,79,3,6,961,vrh
"Goriško, Notranjsko in Snežniško hribovje",Križna gora nad Colom,264173,65,2,3,957,vrh
"Goriško, Notranjsko in Snežniško hribovje",Križna gora nad Colom,264173,65,2,3,957,vrh
